timestamp,open,close,high,low,volume
1569225600000,9930.13,9930.13,9930.13,9930.13,9.93013
1569229200000,NaN,NaN,NaN,NaN,0.0
1569232800000,NaN,NaN,NaN,NaN,0.0
1569236400000,NaN,NaN,NaN,NaN,0.0
1569240000000,NaN,NaN,NaN,NaN,0.0
1569243600000,NaN,NaN,NaN,NaN,0.0
1569247200000,NaN,NaN,NaN,NaN,0.0
1569250800000,NaN,NaN,NaN,NaN,0.0
1569254400000,NaN,NaN,NaN,NaN,0.0
1569258000000,NaN,NaN,NaN,NaN,0.0
1569261600000,NaN,NaN,NaN,NaN,0.0
1569265200000,NaN,NaN,NaN,NaN,0.0
1569268800000,NaN,NaN,NaN,NaN,0.0
1569272400000,NaN,NaN,NaN,NaN,0.0
1569276000000,NaN,NaN,NaN,NaN,0.0
1569279600000,NaN,NaN,NaN,NaN,0.0
1569283200000,NaN,NaN,NaN,NaN,0.0
1569286800000,NaN,NaN,NaN,NaN,0.0
1569290400000,NaN,NaN,NaN,NaN,0.0
1569294000000,NaN,NaN,NaN,NaN,0.0
1569297600000,NaN,NaN,NaN,NaN,0.0
1569301200000,NaN,NaN,NaN,NaN,0.0
1569304800000,NaN,NaN,NaN,NaN,0.0
1569308400000,NaN,NaN,NaN,NaN,0.0
1569312000000,NaN,NaN,NaN,NaN,0.0
1569315600000,NaN,NaN,NaN,NaN,0.0
1569319200000,NaN,NaN,NaN,NaN,0.0
1569322800000,NaN,NaN,NaN,NaN,0.0
1569326400000,NaN,NaN,NaN,NaN,0.0
1569330000000,9637.93,9637.63,9665.05,9596.04,5973.83601404
1569333600000,9620.35,9535.03,9632.82,9516.22,39026.31087092
1569337200000,9524.66,9521.38,9565.79,9421.25,31169.00512853
1569340800000,9521.68,9504.38,9586.46,9493.3,29624.19011456
1569344400000,9501.81,9469.46,9508.38,9452.11,34986.724457669996
1569348000000,9480.85,8629.01,9480.95,8602.89,119639.14299502
1569351600000,8610.18,8412.29,8792.85,7996.45,996489.4820022701
1569355200000,8404.31,8593.26,8677.85,8269.51,329455.06930433
1569358800000,8580.26,8656.51,8760.17,8518.46,86804.45921832
1569362400000,8669.64,8687.7,8718.19,8631.97,29642.39022609
1569366000000,8685.85,8519.67,8767.85,8477.77,36621.47887334
1569369600000,8528.12,8701.54,8701.54,8528.12,23806.23195926
1569373200000,8703.63,8680.23,8724.77,8649.17,18026.66217184
1569376800000,8691.05,8586.61,8713.23,8574.61,44821.10461688
1569380400000,8604.19,8574.77,8616.08,8574.77,26201.95077421
1569384000000,8518.5,8523.89,8545.11,8449.88,50783.18444393
1569387600000,8489.09,8505.17,8516.28,8486.61,14317.68092629
1569391200000,8508.01,8482.89,8532.22,8482.89,40732.42992495
1569394800000,8477.23,8344.39,8478.96,8331.71,59545.32937429
1569398400000,8329.58,8266.16,8385.97,8257.35,27962.45967756
1569402000000,8270.5,8270.5,8270.5,8270.5,464.0660255
1569405600000,8403.67,8405.43,8451.57,8391.96,8750.31479257
1569409200000,8432.68,8329.21,8432.68,8314.48,4674.77517819
1569412800000,8307.28,8312.18,8358.61,8263.55,16342.96032683
1569416400000,8296.02,8388.94,8396.39,8296.02,12784.63692552
1569420000000,8391.57,8384.04,8441.96,8381.01,23961.97307851
1569423600000,8375.0,8325.99,8417.29,8325.99,24174.90076073
1569427200000,8332.35,8334.42,8339.3,8247.78,3595.21517012
1569430800000,8372.4,8360.98,8395.69,8338.45,4059.95463244
1569434400000,8385.3,8336.96,8389.17,8327.11,18449.84218488
1569438000000,8351.55,8332.53,8351.55,8328.42,1159.53907403
1569441600000,8356.2,8494.72,8504.86,8356.2,12225.62335478
1569445200000,8487.95,8579.62,8579.62,8476.96,7762.45277127
1569448800000,8582.18,8431.58,8617.59,8431.58,13805.17804918
1569452400000,8382.67,8435.28,8452.05,8344.24,10953.22436253
1569456000000,8434.45,8376.81,8443.23,8376.81,14900.8524287
1569459600000,8379.65,8361.69,8406.95,8359.6,4491.06754364
1569463200000,8353.56,8371.76,8381.46,8325.53,12364.3838
1569466800000,8363.68,8368.5,8395.42,8352.64,6253.01629237
1569470400000,8356.05,8365.99,8372.62,8343.41,3872.13085145
1569474000000,8390.59,8389.78,8419.45,8383.91,5484.82589134
1569477600000,8395.12,8396.6,8429.97,8395.12,4148.05002519
1569481200000,8401.08,8380.0,8403.6,8368.71,5321.859886329999
1569484800000,8370.0,8411.75,8413.86,8370.0,8558.117381760001
1569488400000,8419.63,8440.87,8453.2,8413.0,3683.1863131
1569492000000,8441.93,8451.23,8451.23,8420.63,5162.65126286
1569495600000,8441.88,8399.6,8441.88,8399.6,3708.5474999
1569499200000,8388.7,8417.59,8429.67,8388.7,1036.51672012
1569502800000,8422.21,8225.34,8424.81,8067.02,19538.11151651
1569506400000,8304.84,8110.05,8342.12,8109.22,19995.75943893
1569510000000,8173.43,7938.6,8224.74,7870.89,34439.8583145
1569513600000,7899.29,7940.8,8000.65,7761.87,34031.11333507
1569517200000,7910.21,7916.71,7971.12,7876.22,3830.80426763
1569520800000,7940.16,8119.32,8165.99,7921.3,28766.73836772
1569524400000,8101.9,8113.84,8113.84,8049.96,32295.51969059
1569528000000,8102.36,8083.9,8153.33,8083.9,13809.51464648
1569531600000,8083.9,8049.74,8083.9,8013.0,18331.74362844
1569535200000,8053.1,8110.56,8121.71,8033.53,24197.57880557
1569538800000,8125.29,8064.41,8125.53,8064.41,32701.7181055
1569542400000,8078.75,7981.81,8095.87,7965.68,50452.98782158
1569546000000,7994.67,7988.41,8000.0,7951.75,17661.722998870002
1569549600000,8009.33,7998.24,8020.39,7986.3,20381.95271932
1569553200000,8000.84,8015.18,8048.13,7999.67,3066.12028396
1569556800000,8027.54,7986.31,8030.43,7986.3,6104.87091485
1569560400000,7986.31,7974.19,7991.96,7966.37,14766.4449877
1569564000000,7986.23,8003.13,8003.13,7986.23,600.3076008200001
1569567600000,8044.41,8063.76,8081.43,8044.41,1668.68923683
1569571200000,8064.2,8072.06,8120.92,8064.2,3719.12271736
1569574800000,8043.37,8021.97,8044.53,8021.97,998.98058612
1569578400000,8056.2,8057.31,8077.33,8042.34,3226.43327085
1569582000000,8059.34,7988.61,8059.34,7971.32,5957.18740015
1569585600000,7982.71,7995.09,8028.77,7957.17,5971.019286090001
1569589200000,8013.35,7995.63,8026.47,7995.63,4003.9135367
1569592800000,8032.82,7961.58,8084.33,7961.57,15145.86927054
1569596400000,7961.04,7970.18,7970.18,7858.58,17944.03983634
1569600000000,7980.22,7999.62,8043.68,7954.17,45178.2128625
1569603600000,8002.66,8031.3,8045.79,7980.75,8137.38893557
1569607200000,8032.38,8025.86,8050.23,8014.43,5339.56320366
1569610800000,8029.8,7999.85,8056.82,7999.85,21397.28870403
1569614400000,7983.2,8057.2,8086.84,7983.2,19559.64642498
1569618000000,8071.79,8208.84,8259.96,8071.79,75599.17320268
1569621600000,8193.65,8174.03,8254.49,8174.03,7299.28495494
1569625200000,8174.82,8178.73,8178.73,8139.46,25737.77770898
1569628800000,8199.4,8200.18,8201.59,8162.33,10187.72729477
1569632400000,8197.31,8157.94,8197.31,8157.94,3458.79734937
1569636000000,8128.64,8154.28,8168.38,8128.64,6580.40560591
1569639600000,8169.55,8163.03,8169.55,8146.76,2994.76654083
1569643200000,8165.12,8168.8,8168.8,8165.12,232.03468320000002
1569646800000,8165.22,8165.22,8165.22,8165.22,84.92645322
1569650400000,8159.64,8160.43,8160.43,8159.64,868.68015608
